id,product_name,EAN,miso_artvonbonbonsanderensuesswaren,miso_artvonschokolade,miso_artvonsnackknabberartikel,miso_artvonzucker,miso_artvonspeiseoel,miso_artvonteigwarennudeln,miso_artvonverwendetemei,miso_artvonkraeuterngewuerzen,miso_artvonbearbeitetemgetreideprodukt,miso_artvonsaucedip,miso_artvonsalatsauce,miso_artvontrinkschokolade,miso_artvonerfrischungsgetraenk,miso_artvonkeksgebaeck,miso_artvonkuchen,miso_artvongebaeckpastete,miso_artvonummantelungfuellung,miso_artvonbrot,miso_artvonprodukt,miso_artvondessert,miso_artvonwasser,miso_artvonsportgetraenk,miso_artvonkrustentierenmuschelnschnecken,miso_artvonhonig,miso_artvoneingelegtemgemuesesauerkonserven,miso_artvonoliven,miso_artvonjoghurt,miso_artvonrahm,miso_artvonmilch,cat_5,cat_5_name,cat_4,cat_4_name,cat_3,cat_3_name,cat_2,cat_2_name,cat_1,cat_1_name
270480309300,Bio Chicorée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270500501000,Cicorino rosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270500502100,Cicorino rosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270580302100,Bio Cicorino rosso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270600509200,Kopfsalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
270808902800,Nüsslisalat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190203,Salate,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271400501000,Tomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271400502100,Tomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271400708400,M-Budget Tomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
271401302300,Datteltomaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS_0101190201,Tomaten,BeSS_01011902,Gemüse,BeSS_010119,Früchte & Gemüse,BeSS_0101,Lebensmittel,BeSS_01,Supermarkt
